tag, type, x, y, z, ad1, time, real_time, acc
1,Linearaccel,-0.18069506,0.06624222,0.038617134,0,0,1475565946408,3
1,Linearaccel,-0.09973192,0.030805588,0.013539314,0,50,1475565946458,3
1,Linearaccel,-0.09536338,0.06044054,0.036161423,0,101,1475565946509,3
1,Linearaccel,-0.09319258,-0.019528389,0.057068825,0,151,1475565946559,3
1,Linearaccel,0.022970438,-0.068219185,0.06405115,0,201,1475565946609,3
1,Linearaccel,-0.032141924,-0.08073902,0.051564217,0,252,1475565946660,3
1,Linearaccel,-0.017938614,0.013890266,-0.09246302,0,302,1475565946710,3
1,Linearaccel,-0.024775743,-0.065757275,-0.12172651,0,352,1475565946760,3
1,Linearaccel,0.04954505,0.045940876,-0.070381165,0,403,1475565946811,3
1,Linearaccel,-0.020709515,0.050258636,-0.052736282,0,453,1475565946861,3
1,Linearaccel,-0.0014817715,0.015274048,-0.003882885,0,504,1475565946912,3
1,Linearaccel,0.046031952,-0.018979073,0.067840576,0,554,1475565946962,3
1,Linearaccel,-0.023808002,-0.044621944,0.025042057,0,604,1475565947012,3
1,Linearaccel,-0.009104967,0.074429035,-1.5306473E-4,0,655,1475565947063,3
1,Linearaccel,0.006741762,0.024460793,-0.046615124,0,705,1475565947113,3
1,Linearaccel,7.376671E-4,0.04033327,-0.039010525,0,755,1475565947163,3
1,Linearaccel,-0.029781818,-0.029464722,-0.024452686,0,806,1475565947214,3
1,Linearaccel,-0.06492782,-0.033339977,-0.04142189,0,856,1475565947264,3
1,Linearaccel,-6.098747E-4,-0.022294044,-0.030853271,0,906,1475565947314,3
1,Linearaccel,0.030123949,-0.0074920654,-0.03958893,0,957,1475565947365,3
1,Linearaccel,0.0127773285,-0.030011654,-0.07772303,0,1007,1475565947415,3
1,Linearaccel,0.064045906,0.021578789,0.0055360794,0,1057,1475565947465,3
1,Linearaccel,-0.012718916,-0.028562069,0.028104782,0,1108,1475565947516,3
