tag, type, x, y, z, ad1, time, real_time, acc
1,Linearaccel,-0.39860106,-0.27965856,0.23007584,0,0,1475565875769,3
1,Linearaccel,-0.45817327,-0.10589218,0.1427927,0,50,1475565875819,3
1,Linearaccel,-0.593215,-0.36223173,-0.09648228,0,101,1475565875870,3
1,Linearaccel,-0.52833414,-0.19787526,0.14550877,0,151,1475565875920,3
1,Linearaccel,-0.42972517,-0.52782845,0.01849842,0,201,1475565875970,3
1,Linearaccel,-0.19680166,-0.24066544,0.1381731,0,252,1475565876021,3
1,Linearaccel,-0.20141172,-0.20482373,-0.058190346,0,302,1475565876071,3
1,Linearaccel,-0.23058558,-0.17581868,0.034142494,0,352,1475565876121,3
1,Linearaccel,-0.019990444,-0.08420205,-0.17358685,0,403,1475565876172,3
1,Linearaccel,0.010601997,0.2543528,-0.26440907,0,453,1475565876222,3
1,Linearaccel,0.029463768,0.6648636,-0.8155494,0,504,1475565876273,3
1,Linearaccel,-0.11813927,0.9403777,-1.0946965,0,554,1475565876323,3
1,Linearaccel,0.32162666,1.2591231,-0.8667717,0,604,1475565876373,3
1,Linearaccel,0.58695316,1.3382485,-1.4383979,0,655,1475565876424,3
1,Linearaccel,0.82208395,1.5436673,-0.55578756,0,705,1475565876474,3
1,Linearaccel,0.8161349,1.4825561,-0.18872976,0,755,1475565876524,3
1,Linearaccel,0.6303091,-0.035562992,-1.0771208,0,806,1475565876575,3
1,Linearaccel,0.065398216,-1.0245461,-0.6569443,0,856,1475565876625,3
1,Linearaccel,-0.07176638,-1.0100427,0.034389496,0,906,1475565876675,3
1,Linearaccel,-0.1028204,-2.1802213,0.1451025,0,957,1475565876726,3
1,Linearaccel,-0.009897232,-2.5202582,0.1578722,0,1007,1475565876776,3
1,Linearaccel,0.29393578,-2.808265,0.26898813,0,1057,1475565876826,3
1,Linearaccel,0.4737835,-2.60958,0.28135633,0,1108,1475565876877,3
1,Linearaccel,0.6451168,-2.2373087,0.11977625,0,1158,1475565876927,3
1,Linearaccel,0.97309875,-2.1814878,0.19638133,0,1208,1475565876977,3
1,Linearaccel,-0.2912693,-2.045441,0.12887609,0,1259,1475565877028,3
1,Linearaccel,-0.6820574,-1.7862537,-0.05588293,0,1309,1475565877078,3
1,Linearaccel,-0.097353935,-1.5539982,0.27385557,0,1360,1475565877129,3
1,Linearaccel,0.6387148,-0.8762982,0.3275622,0,1410,1475565877179,3
1,Linearaccel,0.8032656,-0.6338618,0.15141058,0,1460,1475565877229,3
1,Linearaccel,1.0864725,0.37085342,0.05520451,0,1511,1475565877280,3
1,Linearaccel,0.6178808,1.0523105,-0.21458137,0,1561,1475565877330,3
1,Linearaccel,0.6530638,1.8023357,-0.70426035,0,1611,1475565877380,3
1,Linearaccel,1.2694988,2.6873417,-0.9028981,0,1662,1475565877431,3
1,Linearaccel,1.062088,3.482049,-0.9684019,0,1712,1475565877481,3
1,Linearaccel,1.2830577,3.8134437,-0.8686173,0,1762,1475565877531,3
1,Linearaccel,1.696322,3.6560402,-0.8517089,0,1813,1475565877582,3
1,Linearaccel,2.450553,3.340736,-0.7906225,0,1863,1475565877632,3
1,Linearaccel,2.6111302,3.0506382,-0.6720433,0,1913,1475565877682,3
1,Linearaccel,0.6194482,2.6350694,-0.5485711,0,1964,1475565877733,3
1,Linearaccel,0.45131683,1.6832066,-0.75242996,0,2014,1475565877783,3
1,Linearaccel,1.2076473,0.93102074,-0.5527406,0,2065,1475565877834,3
1,Linearaccel,1.1101418,0.2838366,-0.1921004,0,2115,1475565877884,3
1,Linearaccel,-0.016449928,-0.83133745,-0.22397172,0,2165,1475565877934,3
1,Linearaccel,-1.042572,-1.9602323,-0.2619772,0,2216,1475565877985,3
1,Linearaccel,-0.9957533,-2.6289492,-0.2005266,0,2266,1475565878035,3
1,Linearaccel,-0.7782879,-3.1256337,0.043480396,0,2316,1475565878085,3
1,Linearaccel,-0.44332886,-3.4613492,0.16239583,0,2367,1475565878136,3
1,Linearaccel,0.43512535,-3.8248599,0.42174578,0,2417,1475565878186,3
1,Linearaccel,1.3190432,-3.535424,0.69328177,0,2467,1475565878236,3
1,Linearaccel,2.8729181,-2.7592888,1.4538748,0,2518,1475565878287,3
1,Linearaccel,-0.8235483,-1.0595195,1.772952,0,2568,1475565878337,3
1,Linearaccel,-0.4508009,-0.8185717,1.9733219,0,2618,1475565878387,3
1,Linearaccel,0.8481798,-0.017295122,1.1042974,0,2669,1475565878438,3
1,Linearaccel,1.4534483,1.2123086,0.87130165,0,2719,1475565878488,3
1,Linearaccel,1.1568165,1.3972986,0.37597084,0,2769,1475565878538,3
1,Linearaccel,1.5367632,2.3947477,-0.26272798,0,2820,1475565878589,3
1,Linearaccel,1.4711723,3.2034235,-0.47907913,0,2870,1475565878639,3
1,Linearaccel,1.1932988,3.8507051,-0.8130834,0,2921,1475565878690,3
1,Linearaccel,1.0020103,4.296701,-1.2625921,0,2971,1475565878740,3
1,Linearaccel,1.5774198,4.0901814,-1.2236164,0,3021,1475565878790,3
1,Linearaccel,1.9387808,3.7753162,-1.4425144,0,3072,1475565878841,3
1,Linearaccel,2.7109127,2.8600926,-1.2881866,0,3122,1475565878891,3
1,Linearaccel,3.758119,2.2835693,-1.0604556,0,3172,1475565878941,3
1,Linearaccel,1.5416398,2.2061977,-0.43532443,0,3223,1475565878992,3
1,Linearaccel,0.06932306,1.398509,-0.2307074,0,3273,1475565879042,3
1,Linearaccel,1.1097002,0.7211766,-0.23731947,0,3323,1475565879092,3
1,Linearaccel,1.0540695,0.8405585,-0.0895139,0,3374,1475565879143,3
1,Linearaccel,-0.20720291,0.2895043,-0.13556838,0,3424,1475565879193,3
1,Linearaccel,-0.73633766,-0.949317,-0.16941655,0,3474,1475565879243,3
1,Linearaccel,-0.35216522,-1.7666595,-0.48770976,0,3525,1475565879294,3
1,Linearaccel,-0.14242554,-2.3788521,-0.21111679,0,3575,1475565879344,3
1,Linearaccel,-0.3481512,-3.4293685,-0.21785092,0,3625,1475565879394,3
1,Linearaccel,0.33283043,-4.0401864,-0.08522606,0,3676,1475565879445,3
1,Linearaccel,0.31949234,-4.055117,0.27560616,0,3726,1475565879495,3
1,Linearaccel,1.8260212,-4.059726,0.72495496,0,3777,1475565879546,3
1,Linearaccel,0.030424118,-3.1941285,0.5364697,0,3827,1475565879596,3
1,Linearaccel,-1.4686918,-2.215485,0.5307863,0,3877,1475565879646,3
1,Linearaccel,0.45610428,-1.4549723,0.5093893,0,3928,1475565879697,3
1,Linearaccel,1.144043,-0.1871016,0.5415757,0,3978,1475565879747,3
1,Linearaccel,0.18664265,0.5907645,0.23528528,0,4028,1475565879797,3
1,Linearaccel,0.22519875,0.9507289,-0.20628321,0,4079,1475565879848,3
1,Linearaccel,0.3701086,1.7722359,-0.21699822,0,4129,1475565879898,3
1,Linearaccel,0.13645172,2.0329337,-0.32641363,0,4179,1475565879948,3
1,Linearaccel,0.4749565,2.5450163,-0.5089886,0,4230,1475565879999,3
1,Linearaccel,0.72441673,2.911673,-0.48729134,0,4280,1475565880049,3
1,Linearaccel,1.1615796,2.8172812,-0.5267308,0,4330,1475565880099,3
1,Linearaccel,1.7664819,2.7063308,-0.25010395,0,4381,1475565880150,3
1,Linearaccel,2.841216,2.5385852,-0.31257558,0,4431,1475565880200,3
1,Linearaccel,2.6946993,2.4231148,-0.15859985,0,4482,1475565880251,3
1,Linearaccel,0.14332771,2.5733476,0.017450571,0,4532,1475565880301,3
1,Linearaccel,0.5477371,0.98877907,-0.03162408,0,4582,1475565880351,3
1,Linearaccel,0.62075424,0.6151147,0.05576241,0,4633,1475565880402,3
1,Linearaccel,-0.27989578,0.56479216,0.37798584,0,4683,1475565880452,3
1,Linearaccel,-0.765048,-0.36816168,0.36455202,0,4733,1475565880502,3
1,Linearaccel,-1.1689739,-1.0658822,0.5113511,0,4784,1475565880553,3
1,Linearaccel,-0.85828495,-1.3573344,0.6034905,0,4834,1475565880603,3
1,Linearaccel,-0.7144308,-1.9448919,0.84159887,0,4884,1475565880653,3
1,Linearaccel,-0.3935051,-2.3547833,0.5978328,0,4935,1475565880704,3
1,Linearaccel,0.2921543,-2.418713,0.4763503,0,4985,1475565880754,3
1,Linearaccel,0.16160297,-2.4800205,0.1948421,0,5035,1475565880804,3
1,Linearaccel,1.631238,-2.8387308,0.13174832,0,5086,1475565880855,3
1,Linearaccel,1.9662342,-2.462215,0.23835433,0,5136,1475565880905,3
1,Linearaccel,-1.6212215,-1.5556023,-0.26560593,0,5186,1475565880955,3
1,Linearaccel,-0.52214813,-1.4783881,-0.32631087,0,5237,1475565881006,3
1,Linearaccel,0.37098408,-0.5164602,-0.517797,0,5287,1475565881056,3
1,Linearaccel,0.6454735,0.20858812,-0.50863016,0,5338,1475565881107,3
1,Linearaccel,0.029360771,0.6206498,-0.86624944,0,5388,1475565881157,3
1,Linearaccel,0.3758421,1.1543002,-0.83789563,0,5438,1475565881207,3
1,Linearaccel,0.103479385,2.042656,-1.0424027,0,5489,1475565881258,3
1,Linearaccel,0.35733032,2.2807903,-0.9371928,0,5539,1475565881308,3
1,Linearaccel,0.71207666,2.7044659,-1.1269989,0,5589,1475565881358,3
1,Linearaccel,1.2368546,2.6646652,-0.63636255,0,5640,1475565881409,3
1,Linearaccel,1.6606779,2.6231961,-0.4774196,0,5690,1475565881459,3
1,Linearaccel,2.3712664,2.1399884,-0.29090762,0,5740,1475565881509,3
1,Linearaccel,3.015204,1.8091207,-0.11511421,0,5791,1475565881560,3
1,Linearaccel,0.0801239,1.8191323,-0.056075454,0,5841,1475565881610,3
1,Linearaccel,-0.22565365,1.0310063,0.0792284,0,5891,1475565881660,3
1,Linearaccel,0.6804514,0.73132277,-0.0153672695,0,5942,1475565881711,3
1,Linearaccel,-0.19527245,0.88937473,0.0118505955,0,5992,1475565881761,3
1,Linearaccel,-0.95641327,0.057049274,0.03418553,0,6042,1475565881811,3
1,Linearaccel,-1.1182909,-0.82979655,-0.09465134,0,6093,1475565881862,3
1,Linearaccel,-0.793622,-1.1405041,0.2822858,0,6143,1475565881912,3
